"","tract_name","freq","city"
"638","Census Tract 336",101,"Brooklyn"
"639","Census Tract 337",130,"Brooklyn"
"640","Census Tract 339",183,"Brooklyn"
"641","Census Tract 34",102,"Brooklyn"
"642","Census Tract 340",28,"Brooklyn"
"643","Census Tract 341",100,"Brooklyn"
"644","Census Tract 342",301,"Brooklyn"
"645","Census Tract 343",247,"Brooklyn"
"646","Census Tract 345",198,"Brooklyn"
"647","Census Tract 347",290,"Brooklyn"
"648","Census Tract 348",378,"Brooklyn"
"649","Census Tract 349",282,"Brooklyn"
"650","Census Tract 35",355,"Brooklyn"
"651","Census Tract 350",194,"Brooklyn"
